image_name,piece_0_0,piece_0_1,piece_0_2,piece_0_3,piece_0_4,piece_1_0,piece_1_1,piece_1_2,piece_1_3,piece_1_4,piece_2_0,piece_2_1,piece_2_2,piece_2_3,piece_2_4,piece_3_0,piece_3_1,piece_3_2,piece_3_3,piece_3_4,piece_4_0,piece_4_1,piece_4_2,piece_4_3,piece_4_4
10.jpg,"(1, 2)","(4, 0)","(0, 0)","(0, 3)","(3, 1)","(4, 0)","(3, 3)","(0, 0)","(0, 0)","(4, 1)","(4, 0)","(3, 3)","(0, 0)","(0, 0)","(4, 1)","(2, 0)","(3, 2)","(0, 0)","(4, 3)","(1, 3)","(4, 2)","(2, 2)","(2, 3)","(1, 1)","(0, 1)"
11.jpg,"(4, 3)","(1, 0)","(1, 2)","(4, 0)","(3, 4)","(0, 4)","(0, 0)","(3, 1)","(2, 4)","(0, 1)","(0, 4)","(0, 0)","(3, 1)","(2, 4)","(0, 1)","(2, 1)","(0, 0)","(0, 3)","(1, 0)","(2, 2)","(2, 3)","(4, 1)","(4, 2)","(0, 2)","(3, 2)"
12.jpg,"(0, 0)","(3, 3)","(0, 2)","(2, 2)","(0, 1)","(1, 3)","(2, 0)","(1, 1)","(4, 4)","(4, 3)","(1, 3)","(2, 0)","(1, 1)","(4, 4)","(4, 3)","(2, 4)","(0, 3)","(0, 0)","(0, 0)","(1, 4)","(0, 4)","(2, 3)","(1, 2)","(4, 0)","(3, 2)"
13.jpg,"(1, 1)","(2, 2)","(0, 0)","(2, 4)","(2, 1)","(3, 0)","(3, 4)","(3, 2)","(0, 2)","(1, 4)","(3, 0)","(3, 4)","(3, 2)","(0, 2)","(1, 4)","(0, 1)","(4, 2)","(0, 4)","(0, 0)","(1, 3)","(0, 0)","(4, 0)","(3, 3)","(0, 3)","(4, 4)"
14.jpg,"(2, 4)","(4, 4)","(3, 1)","(1, 1)","(0, 3)","(1, 2)","(4, 2)","(1, 3)","(0, 0)","(3, 4)","(1, 2)","(4, 2)","(1, 3)","(0, 0)","(3, 4)","(0, 1)","(4, 0)","(2, 2)","(4, 3)","(0, 0)","(2, 1)","(0, 4)","(4, 1)","(1, 0)","(2, 0)"
15.jpg,"(0, 0)","(1, 1)","(3, 3)","(4, 4)","(3, 2)","(2, 3)","(0, 2)","(0, 0)","(0, 3)","(3, 4)","(2, 3)","(0, 2)","(0, 0)","(0, 3)","(3, 4)","(0, 0)","(4, 3)","(0, 4)","(0, 1)","(4, 2)","(4, 1)","(2, 2)","(2, 4)","(3, 1)","(2, 0)"
16.jpg,"(3, 4)","(4, 1)","(0, 0)","(4, 2)","(2, 1)","(0, 0)","(4, 4)","(1, 4)","(0, 4)","(0, 1)","(0, 0)","(4, 4)","(1, 4)","(0, 4)","(0, 1)","(2, 2)","(0, 0)","(3, 3)","(1, 2)","(0, 2)","(1, 3)","(4, 3)","(3, 2)","(3, 1)","(1, 1)"
17.jpg,"(2, 1)","(4, 1)","(0, 1)","(0, 0)","(4, 4)","(0, 3)","(2, 2)","(0, 0)","(3, 2)","(1, 3)","(0, 3)","(2, 2)","(0, 0)","(3, 2)","(1, 3)","(0, 4)","(1, 2)","(1, 1)","(0, 0)","(2, 0)","(3, 0)","(4, 2)","(4, 3)","(4, 0)","(3, 3)"
18.jpg,"(4, 4)","(2, 3)","(2, 4)","(1, 1)","(0, 1)","(0, 0)","(3, 4)","(0, 4)","(1, 3)","(4, 2)","(0, 0)","(3, 4)","(0, 4)","(1, 3)","(4, 2)","(4, 0)","(3, 2)","(0, 0)","(0, 2)","(0, 0)","(3, 3)","(2, 1)","(0, 0)","(0, 4)","(0, 0)"
19.jpg,"(2, 3)","(1, 2)","(4, 2)","(3, 1)","(3, 2)","(1, 0)","(2, 0)","(0, 2)","(2, 4)","(4, 4)","(1, 0)","(2, 0)","(0, 2)","(2, 4)","(4, 4)","(3, 3)","(4, 1)","(1, 3)","(0, 4)","(0, 1)","(0, 0)","(2, 1)","(1, 4)","(2, 2)","(1, 1)"
20.jpg,"(2, 1)","(0, 0)","(3, 3)","(4, 4)","(3, 4)","(0, 3)","(3, 1)","(1, 1)","(1, 2)","(0, 0)","(0, 3)","(3, 1)","(1, 1)","(1, 2)","(0, 0)","(0, 1)","(1, 3)","(0, 0)","(2, 3)","(0, 0)","(0, 2)","(3, 2)","(2, 2)","(4, 1)","(4, 2)"
21.jpg,"(0, 0)","(3, 0)","(2, 0)","(4, 0)","(0, 0)","(4, 3)","(0, 4)","(1, 3)","(2, 3)","(3, 2)","(4, 3)","(0, 4)","(1, 3)","(2, 3)","(3, 2)","(0, 1)","(1, 0)","(4, 2)","(1, 2)","(0, 4)","(3, 3)","(2, 1)","(3, 4)","(3, 1)","(0, 3)"
22.jpg,"(1, 1)","(0, 1)","(1, 4)","(2, 0)","(0, 0)","(3, 2)","(0, 4)","(1, 2)","(2, 2)","(4, 1)","(3, 2)","(0, 4)","(1, 2)","(2, 2)","(4, 1)","(3, 0)","(0, 3)","(2, 3)","(3, 4)","(0, 2)","(2, 4)","(2, 1)","(4, 2)","(3, 3)","(2, 4)"
23.jpg,"(1, 4)","(3, 2)","(3, 0)","(4, 1)","(2, 0)","(1, 2)","(0, 1)","(4, 0)","(2, 3)","(2, 2)","(1, 2)","(0, 1)","(4, 0)","(2, 3)","(2, 2)","(1, 4)","(1, 0)","(2, 4)","(1, 4)","(0, 2)","(1, 3)","(4, 3)","(2, 1)","(1, 1)","(0, 4)"
24.jpg,"(0, 1)","(1, 0)","(0, 3)","(0, 2)","(1, 1)","(0, 0)","(2, 4)","(3, 0)","(2, 0)","(2, 1)","(0, 0)","(2, 4)","(3, 0)","(2, 0)","(2, 1)","(4, 3)","(0, 4)","(4, 1)","(0, 4)","(1, 3)","(2, 2)","(1, 4)","(3, 2)","(1, 2)","(3, 3)"
25.jpg,"(0, 0)","(2, 1)","(0, 0)","(0, 0)","(4, 4)","(1, 1)","(0, 3)","(3, 2)","(0, 0)","(3, 4)","(1, 1)","(0, 3)","(3, 2)","(0, 0)","(3, 4)","(4, 2)","(4, 3)","(1, 4)","(3, 1)","(0, 4)","(4, 1)","(0, 0)","(0, 1)","(2, 4)","(2, 2)"
26.jpg,"(3, 3)","(4, 3)","(4, 1)","(4, 2)","(3, 4)","(1, 4)","(0, 1)","(2, 2)","(2, 4)","(2, 0)","(1, 4)","(0, 1)","(2, 2)","(2, 4)","(2, 0)","(0, 0)","(1, 3)","(0, 3)","(1, 0)","(4, 0)","(1, 2)","(3, 1)","(2, 1)","(1, 1)","(0, 2)"
27.jpg,"(1, 1)","(1, 0)","(0, 4)","(2, 2)","(3, 3)","(1, 4)","(4, 3)","(2, 0)","(1, 2)","(0, 1)","(1, 4)","(4, 3)","(2, 0)","(1, 2)","(0, 1)","(4, 1)","(2, 3)","(1, 3)","(3, 1)","(3, 4)","(2, 4)","(4, 4)","(3, 0)","(2, 1)","(0, 0)"
28.jpg,"(3, 0)","(0, 4)","(1, 2)","(4, 1)","(0, 2)","(4, 0)","(3, 3)","(2, 3)","(0, 3)","(4, 2)","(4, 0)","(3, 3)","(2, 3)","(0, 3)","(4, 2)","(4, 4)","(2, 2)","(1, 4)","(0, 0)","(2, 4)","(3, 2)","(1, 3)","(3, 1)","(4, 3)","(3, 4)"
29.jpg,"(3, 2)","(0, 0)","(0, 0)","(1, 1)","(3, 1)","(4, 2)","(4, 3)","(3, 3)","(3, 0)","(1, 0)","(4, 2)","(4, 3)","(3, 3)","(3, 0)","(1, 0)","(4, 4)","(0, 4)","(2, 0)","(1, 3)","(2, 2)","(0, 1)","(2, 1)","(2, 4)","(4, 1)","(0, 3)"
30.jpg,"(0, 0)","(1, 1)","(3, 0)","(4, 2)","(2, 4)","(0, 1)","(0, 3)","(4, 3)","(2, 0)","(3, 4)","(0, 1)","(0, 3)","(4, 3)","(2, 0)","(3, 4)","(4, 0)","(0, 2)","(4, 1)","(0, 0)","(2, 3)","(3, 3)","(4, 4)","(3, 2)","(3, 1)","(0, 0)"
31.jpg,"(0, 0)","(0, 0)","(0, 2)","(2, 2)","(4, 3)","(0, 3)","(2, 1)","(1, 2)","(1, 1)","(3, 0)","(0, 3)","(2, 1)","(1, 2)","(1, 1)","(3, 0)","(2, 0)","(4, 4)","(3, 3)","(3, 2)","(0, 0)","(2, 3)","(0, 0)","(0, 0)","(4, 1)","(1, 0)"
32.jpg,"(2, 0)","(3, 3)","(4, 4)","(3, 0)","(0, 2)","(1, 1)","(1, 4)","(3, 1)","(1, 2)","(2, 1)","(1, 1)","(1, 4)","(3, 1)","(1, 2)","(2, 1)","(0, 4)","(4, 1)","(2, 4)","(1, 0)","(0, 1)","(0, 3)","(3, 2)","(4, 0)","(1, 3)","(2, 3)"
33.jpg,"(0, 0)","(2, 1)","(1, 3)","(4, 0)","(3, 3)","(2, 0)","(3, 2)","(4, 3)","(1, 0)","(2, 2)","(2, 0)","(3, 2)","(4, 3)","(1, 0)","(2, 2)","(0, 1)","(2, 3)","(0, 3)","(1, 1)","(0, 2)","(0, 3)","(3, 1)","(4, 2)","(2, 4)","(3, 0)"
34.jpg,"(3, 3)","(1, 3)","(0, 1)","(2, 0)","(0, 2)","(2, 3)","(4, 1)","(2, 4)","(1, 2)","(3, 4)","(2, 3)","(4, 1)","(2, 4)","(1, 2)","(3, 4)","(2, 1)","(0, 4)","(2, 2)","(4, 3)","(4, 2)","(0, 0)","(3, 0)","(3, 2)","(4, 4)","(0, 3)"
35.jpg,"(0, 3)","(1, 4)","(2, 1)","(3, 2)","(0, 0)","(4, 2)","(0, 4)","(4, 1)","(1, 3)","(3, 0)","(4, 2)","(0, 4)","(4, 1)","(1, 3)","(3, 0)","(0, 2)","(2, 0)","(1, 1)","(2, 2)","(4, 0)","(0, 0)","(0, 0)","(3, 1)","(4, 3)","(0, 1)"
36.jpg,"(0, 0)","(4, 3)","(4, 4)","(3, 4)","(0, 2)","(4, 1)","(0, 0)","(2, 1)","(2, 0)","(3, 3)","(4, 1)","(0, 0)","(2, 1)","(2, 0)","(3, 3)","(4, 2)","(1, 1)","(0, 0)","(3, 1)","(0, 1)","(2, 2)","(0, 3)","(4, 0)","(1, 2)","(1, 0)"
37.jpg,"(1, 4)","(4, 3)","(0, 3)","(1, 0)","(0, 0)","(2, 4)","(4, 2)","(3, 4)","(3, 1)","(2, 1)","(2, 4)","(4, 2)","(3, 4)","(3, 1)","(2, 1)","(0, 2)","(0, 1)","(0, 4)","(2, 3)","(1, 3)","(1, 1)","(0, 0)","(4, 4)","(1, 0)","(3, 3)"
38.jpg,"(1, 1)","(3, 1)","(4, 3)","(4, 4)","(4, 2)","(0, 1)","(2, 1)","(1, 3)","(1, 0)","(3, 4)","(0, 1)","(2, 1)","(1, 3)","(1, 0)","(3, 4)","(2, 3)","(3, 2)","(3, 3)","(0, 0)","(2, 2)","(0, 3)","(3, 0)","(2, 0)","(4, 1)","(2, 4)"
39.jpg,"(4, 3)","(0, 0)","(2, 1)","(2, 3)","(0, 4)","(0, 3)","(0, 0)","(0, 0)","(0, 0)","(4, 2)","(0, 3)","(0, 0)","(0, 0)","(0, 0)","(4, 2)","(3, 0)","(3, 2)","(1, 1)","(0, 1)","(0, 4)","(2, 0)","(1, 3)","(0, 2)","(4, 0)","(4, 1)"
40.jpg,"(3, 1)","(2, 4)","(1, 3)","(0, 3)","(4, 0)","(4, 3)","(0, 2)","(3, 4)","(0, 1)","(1, 0)","(4, 3)","(0, 2)","(3, 4)","(0, 1)","(1, 0)","(4, 2)","(2, 0)","(2, 1)","(3, 3)","(1, 2)","(0, 4)","(1, 1)","(0, 0)","(2, 3)","(4, 1)"
41.jpg,"(2, 3)","(1, 4)","(3, 3)","(4, 1)","(0, 0)","(2, 1)","(4, 2)","(4, 0)","(2, 4)","(0, 4)","(2, 1)","(4, 2)","(4, 0)","(2, 4)","(0, 4)","(4, 4)","(2, 2)","(4, 4)","(0, 1)","(3, 1)","(3, 2)","(1, 3)","(1, 0)","(1, 2)","(3, 0)"
42.jpg,"(4, 0)","(4, 1)","(4, 3)","(0, 0)","(0, 4)","(3, 4)","(3, 2)","(2, 1)","(2, 2)","(2, 4)","(3, 4)","(3, 2)","(2, 1)","(2, 2)","(2, 4)","(0, 0)","(1, 3)","(0, 1)","(0, 2)","(4, 2)","(2, 3)","(1, 4)","(0, 0)","(1, 1)","(0, 0)"
43.jpg,"(0, 0)","(0, 0)","(4, 3)","(2, 2)","(0, 2)","(0, 0)","(1, 3)","(4, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 3)","(4, 1)","(0, 0)","(0, 0)","(3, 1)","(2, 0)","(3, 2)","(1, 2)","(0, 3)","(2, 3)","(4, 2)","(2, 4)","(0, 1)","(0, 0)"
44.jpg,"(2, 1)","(0, 4)","(4, 4)","(4, 3)","(2, 4)","(0, 4)","(3, 2)","(4, 2)","(3, 1)","(1, 3)","(0, 4)","(3, 2)","(4, 2)","(3, 1)","(1, 3)","(0, 4)","(0, 4)","(1, 4)","(4, 1)","(2, 3)","(0, 4)","(0, 2)","(0, 4)","(1, 1)","(1, 2)"
45.jpg,"(0, 0)","(4, 2)","(1, 1)","(3, 3)","(0, 1)","(0, 0)","(2, 4)","(3, 0)","(0, 0)","(1, 4)","(0, 0)","(2, 4)","(3, 0)","(0, 0)","(1, 4)","(3, 2)","(4, 4)","(2, 3)","(1, 3)","(2, 2)","(4, 3)","(2, 0)","(3, 1)","(0, 2)","(0, 3)"
46.jpg,"(3, 3)","(1, 1)","(0, 4)","(0, 0)","(0, 2)","(1, 4)","(2, 1)","(2, 2)","(1, 2)","(1, 3)","(1, 4)","(2, 1)","(2, 2)","(1, 2)","(1, 3)","(4, 1)","(0, 0)","(2, 3)","(0, 1)","(2, 4)","(0, 0)","(4, 3)","(0, 0)","(0, 0)","(3, 2)"
47.jpg,"(1, 3)","(2, 1)","(3, 0)","(2, 3)","(4, 4)","(2, 2)","(2, 0)","(0, 0)","(4, 4)","(0, 2)","(2, 2)","(2, 0)","(0, 0)","(4, 4)","(0, 2)","(0, 4)","(2, 4)","(0, 0)","(0, 1)","(0, 4)","(1, 1)","(0, 3)","(4, 1)","(3, 3)","(4, 2)"
48.jpg,"(2, 4)","(4, 3)","(4, 1)","(0, 2)","(3, 3)","(0, 0)","(3, 4)","(4, 2)","(4, 4)","(3, 0)","(0, 0)","(3, 4)","(4, 2)","(4, 4)","(3, 0)","(1, 1)","(3, 1)","(4, 0)","(2, 3)","(0, 3)","(2, 1)","(2, 2)","(1, 2)","(1, 3)","(0, 0)"
49.jpg,"(0, 2)","(3, 4)","(2, 4)","(2, 2)","(4, 1)","(2, 1)","(3, 3)","(4, 3)","(0, 0)","(0, 0)","(2, 1)","(3, 3)","(4, 3)","(0, 0)","(0, 0)","(1, 2)","(0, 3)","(0, 1)","(3, 1)","(2, 0)","(2, 3)","(4, 2)","(0, 4)","(1, 1)","(1, 4)"
50.jpg,"(0, 4)","(2, 2)","(0, 0)","(2, 3)","(3, 3)","(1, 3)","(0, 0)","(0, 0)","(1, 4)","(4, 1)","(1, 3)","(0, 0)","(0, 0)","(1, 4)","(4, 1)","(0, 1)","(3, 4)","(3, 1)","(3, 2)","(4, 3)","(0, 4)","(2, 4)","(0, 0)","(0, 2)","(2, 1)"
51.jpg,"(1, 3)","(3, 1)","(3, 2)","(1, 2)","(1, 4)","(0, 2)","(3, 4)","(4, 1)","(0, 0)","(2, 4)","(0, 2)","(3, 4)","(4, 1)","(0, 0)","(2, 4)","(4, 4)","(0, 1)","(2, 0)","(4, 0)","(3, 3)","(2, 1)","(0, 4)","(2, 2)","(4, 3)","(0, 3)"
52.jpg,"(4, 2)","(3, 3)","(0, 0)","(4, 3)","(2, 4)","(3, 1)","(4, 4)","(2, 3)","(1, 3)","(1, 0)","(3, 1)","(4, 4)","(2, 3)","(1, 3)","(1, 0)","(1, 2)","(4, 1)","(0, 0)","(2, 1)","(2, 2)","(0, 4)","(0, 1)","(0, 2)","(3, 4)","(0, 3)"
53.jpg,"(0, 1)","(3, 0)","(2, 2)","(4, 1)","(3, 0)","(1, 4)","(0, 0)","(3, 0)","(3, 2)","(4, 3)","(1, 4)","(0, 0)","(3, 0)","(3, 2)","(4, 3)","(0, 0)","(2, 0)","(0, 2)","(1, 3)","(2, 1)","(1, 1)","(2, 3)","(3, 3)","(0, 3)","(3, 1)"
54.jpg,"(2, 1)","(4, 4)","(4, 3)","(1, 4)","(3, 3)","(1, 2)","(0, 4)","(4, 4)","(4, 2)","(3, 2)","(1, 2)","(0, 4)","(4, 4)","(4, 2)","(3, 2)","(3, 0)","(0, 2)","(3, 1)","(0, 4)","(1, 0)","(1, 1)","(0, 3)","(2, 2)","(0, 1)","(2, 3)"
55.jpg,"(4, 3)","(0, 4)","(1, 0)","(0, 1)","(4, 4)","(2, 3)","(4, 0)","(2, 1)","(1, 1)","(1, 3)","(2, 3)","(4, 0)","(2, 1)","(1, 1)","(1, 3)","(1, 4)","(2, 2)","(4, 2)","(3, 0)","(2, 0)","(1, 2)","(3, 4)","(3, 1)","(3, 2)","(0, 2)"
56.jpg,"(1, 0)","(4, 1)","(0, 4)","(3, 3)","(0, 4)","(2, 4)","(3, 2)","(2, 3)","(3, 0)","(1, 1)","(2, 4)","(3, 2)","(2, 3)","(3, 0)","(1, 1)","(1, 3)","(0, 0)","(2, 0)","(0, 0)","(0, 2)","(2, 1)","(1, 2)","(0, 3)","(4, 2)","(4, 3)"
57.jpg,"(3, 2)","(2, 4)","(0, 3)","(3, 0)","(4, 4)","(0, 4)","(2, 0)","(1, 2)","(0, 0)","(1, 1)","(0, 4)","(2, 0)","(1, 2)","(0, 0)","(1, 1)","(3, 1)","(2, 2)","(2, 1)","(2, 3)","(0, 1)","(1, 3)","(4, 1)","(4, 3)","(1, 0)","(3, 3)"
58.jpg,"(2, 4)","(4, 4)","(3, 1)","(4, 3)","(1, 1)","(1, 0)","(2, 4)","(2, 2)","(1, 3)","(3, 3)","(1, 0)","(2, 4)","(2, 2)","(1, 3)","(3, 3)","(0, 0)","(1, 3)","(2, 0)","(4, 2)","(3, 0)","(2, 1)","(1, 4)","(4, 0)","(3, 2)","(0, 1)"
59.jpg,"(0, 0)","(4, 3)","(4, 4)","(0, 0)","(0, 1)","(1, 2)","(4, 4)","(1, 1)","(2, 2)","(2, 3)","(1, 2)","(4, 4)","(1, 1)","(2, 2)","(2, 3)","(4, 1)","(3, 3)","(3, 1)","(2, 1)","(2, 4)","(2, 0)","(0, 0)","(3, 2)","(4, 2)","(1, 3)"
60.jpg,"(2, 0)","(2, 1)","(4, 1)","(1, 2)","(3, 3)","(2, 4)","(3, 0)","(0, 4)","(0, 3)","(4, 3)","(2, 4)","(3, 0)","(0, 4)","(0, 3)","(4, 3)","(1, 1)","(0, 1)","(2, 2)","(3, 1)","(0, 4)","(4, 2)","(0, 0)","(1, 0)","(1, 3)","(0, 4)"
61.jpg,"(2, 4)","(1, 2)","(3, 1)","(0, 0)","(1, 3)","(4, 2)","(0, 4)","(0, 1)","(3, 0)","(1, 1)","(4, 2)","(0, 4)","(0, 1)","(3, 0)","(1, 1)","(1, 4)","(0, 2)","(4, 3)","(3, 4)","(1, 4)","(3, 2)","(2, 3)","(4, 1)","(2, 0)","(4, 3)"
62.jpg,"(0, 4)","(4, 0)","(4, 1)","(1, 0)","(3, 3)","(4, 2)","(1, 2)","(3, 1)","(3, 2)","(1, 3)","(4, 2)","(1, 2)","(3, 1)","(3, 2)","(1, 3)","(2, 3)","(0, 1)","(4, 4)","(2, 2)","(0, 3)","(2, 4)","(1, 4)","(2, 1)","(3, 4)","(4, 0)"
63.jpg,"(1, 4)","(0, 3)","(1, 3)","(3, 2)","(1, 2)","(2, 1)","(4, 3)","(1, 1)","(0, 0)","(2, 4)","(2, 1)","(4, 3)","(1, 1)","(0, 0)","(2, 4)","(3, 3)","(0, 2)","(1, 0)","(1, 0)","(0, 0)","(3, 1)","(1, 4)","(4, 2)","(4, 1)","(0, 0)"
64.jpg,"(0, 0)","(0, 0)","(4, 2)","(0, 2)","(3, 3)","(2, 2)","(4, 3)","(4, 1)","(0, 0)","(0, 0)","(2, 2)","(4, 3)","(4, 1)","(0, 0)","(0, 0)","(3, 2)","(2, 1)","(0, 1)","(0, 3)","(1, 3)","(1, 1)","(3, 1)","(1, 2)","(1, 0)","(0, 0)"
65.jpg,"(0, 3)","(3, 2)","(3, 4)","(4, 3)","(0, 0)","(0, 2)","(3, 0)","(4, 2)","(0, 4)","(2, 4)","(0, 2)","(3, 0)","(4, 2)","(0, 4)","(2, 4)","(1, 3)","(4, 1)","(4, 4)","(0, 4)","(1, 0)","(4, 0)","(2, 0)","(2, 3)","(3, 3)","(1, 1)"
66.jpg,"(0, 2)","(2, 3)","(1, 1)","(0, 3)","(4, 0)","(4, 2)","(0, 0)","(2, 1)","(2, 0)","(2, 4)","(4, 2)","(0, 0)","(2, 1)","(2, 0)","(2, 4)","(3, 2)","(1, 3)","(3, 1)","(1, 2)","(0, 0)","(3, 0)","(0, 0)","(1, 4)","(1, 0)","(4, 1)"
67.jpg,"(4, 0)","(3, 1)","(1, 3)","(1, 1)","(0, 2)","(1, 0)","(1, 2)","(2, 0)","(3, 3)","(3, 2)","(1, 0)","(1, 2)","(2, 0)","(3, 3)","(3, 2)","(4, 1)","(3, 0)","(4, 3)","(1, 4)","(0, 0)","(0, 0)","(0, 0)","(2, 4)","(2, 1)","(2, 2)"
68.jpg,"(0, 2)","(1, 4)","(3, 0)","(1, 2)","(4, 4)","(2, 2)","(0, 4)","(3, 2)","(4, 1)","(1, 1)","(2, 2)","(0, 4)","(3, 2)","(4, 1)","(1, 1)","(0, 2)","(4, 2)","(3, 3)","(0, 0)","(2, 0)","(0, 3)","(1, 3)","(0, 1)","(3, 4)","(3, 1)"
69.jpg,"(4, 1)","(2, 0)","(1, 2)","(4, 2)","(0, 3)","(4, 3)","(3, 3)","(0, 4)","(1, 0)","(3, 2)","(4, 3)","(3, 3)","(0, 4)","(1, 0)","(3, 2)","(1, 3)","(1, 4)","(0, 0)","(2, 4)","(2, 3)","(0, 2)","(3, 0)","(3, 4)","(3, 1)","(0, 1)"
70.jpg,"(2, 4)","(3, 2)","(4, 4)","(2, 2)","(2, 1)","(0, 0)","(1, 2)","(0, 0)","(1, 3)","(3, 4)","(0, 0)","(1, 2)","(0, 0)","(1, 3)","(3, 4)","(3, 1)","(2, 3)","(3, 3)","(1, 1)","(0, 1)","(1, 4)","(0, 4)","(0, 0)","(4, 3)","(0, 0)"
71.jpg,"(1, 0)","(1, 4)","(1, 2)","(3, 2)","(2, 4)","(0, 3)","(2, 1)","(3, 4)","(0, 0)","(0, 4)","(0, 3)","(2, 1)","(3, 4)","(0, 0)","(0, 4)","(0, 0)","(2, 3)","(1, 3)","(4, 2)","(0, 1)","(3, 1)","(4, 3)","(0, 0)","(4, 4)","(1, 1)"
72.jpg,"(2, 2)","(4, 0)","(1, 1)","(0, 0)","(2, 3)","(4, 2)","(4, 1)","(0, 2)","(2, 1)","(0, 0)","(4, 2)","(4, 1)","(0, 2)","(2, 1)","(0, 0)","(4, 3)","(2, 0)","(3, 3)","(1, 3)","(0, 1)","(1, 4)","(0, 0)","(1, 2)","(4, 4)","(4, 2)"
73.jpg,"(2, 2)","(3, 3)","(0, 3)","(2, 3)","(3, 0)","(4, 3)","(3, 2)","(3, 4)","(4, 4)","(4, 0)","(4, 3)","(3, 2)","(3, 4)","(4, 4)","(4, 0)","(0, 4)","(3, 1)","(1, 1)","(4, 1)","(1, 4)","(2, 1)","(0, 0)","(4, 2)","(0, 2)","(0, 1)"
